BubbleSort,1000,12
ParallelBubbleSort,1000,20
BubbleSort,5000,43
ParallelBubbleSort,5000,23
BubbleSort,10000,191
ParallelBubbleSort,10000,4
BubbleSort,50000,5332
ParallelBubbleSort,50000,13
BubbleSort,100000,21570
ParallelBubbleSort,100000,28
BubbleSort,1000,6
ParallelBubbleSort,1000,21
QuickSort,1000,0
BubbleSort,1000,6
ParallelBubbleSort,1000,8
SelectionSort,1000,3
InsertionSort,1000,2
CountingSort,1000,2
QuickSort,1000,1
MergeSort,1000,1
ParallelQuickSort,1000,2
ParallelMergeSort,1000,2
ParallelInsertionSort,1000,3
BubbleSort,5000,29
ParallelBubbleSort,5000,16
SelectionSort,5000,8
InsertionSort,5000,10
CountingSort,5000,2
QuickSort,5000,1
MergeSort,5000,1
ParallelQuickSort,5000,3
ParallelMergeSort,5000,4
ParallelInsertionSort,5000,4
BubbleSort,10000,145
ParallelBubbleSort,10000,2
SelectionSort,10000,36
InsertionSort,10000,32
CountingSort,10000,1
QuickSort,10000,1
MergeSort,10000,1
ParallelQuickSort,10000,2
ParallelMergeSort,10000,11
ParallelInsertionSort,10000,6
BubbleSort,50000,3395
ParallelBubbleSort,50000,8
SelectionSort,50000,829
InsertionSort,50000,352
CountingSort,50000,2
QuickSort,50000,5
MergeSort,50000,9
ParallelQuickSort,50000,3
ParallelMergeSort,50000,7
ParallelInsertionSort,50000,16
BubbleSort,100000,13262
ParallelBubbleSort,100000,15
SelectionSort,100000,2841
InsertionSort,100000,1186
CountingSort,100000,1
QuickSort,100000,8
MergeSort,100000,18
ParallelQuickSort,100000,3
ParallelMergeSort,100000,6
ParallelInsertionSort,100000,26
BubbleSort,1000,1
ParallelBubbleSort,1000,2
SelectionSort,1000,1
InsertionSort,1000,0
CountingSort,1000,0
QuickSort,1000,0
MergeSort,1000,0
ParallelQuickSort,1000,1
ParallelMergeSort,1000,1
ParallelInsertionSort,1000,1
BubbleSort,5000,31
ParallelBubbleSort,5000,2
